AGC,RAJ2000,DEJ2000,Dist,e_Dist,Vc,e_Vc,HIflux,e_HIflux,W85,e_W85,Af,e_Af,Ac,e_Ac,Cv,e_Cv,K,e_K,S/N,sigma,logMHI,e_logMHI,Notes,SDSS,SimbadName,LEDA
336221,349.1325,19.01556,75.9,2.3,5298,6,0.7,0.13,85,11,1.08,0.21,2.56,0.78,4.64,0.69,0.049,0.039,9.8,1.8,8.98,0.08,1,,AGC 336221,LEDA
336222,349.19333,19.61306,158.7,2.0,11493,5,2.53,0.4,414,31,1.0,0.07,1.29,0.15,3.02,0.23,-0.061,0.024,16.3,2.1,10.18,0.07,1,,AGC 336222,LEDA
336223,349.50417,19.19278,170.9,2.3,12320,5,1.17,0.18,125,12,1.2,0.1,1.41,0.18,3.62,0.37,0.043,0.023,11.2,2.3,9.9,0.07,1,,AGC 336223,LEDA
336224,350.76292,19.77556,161.5,2.4,11669,8,0.53,0.1,62,9,1.0,0.28,1.86,0.5,3.39,0.69,-0.006,0.038,6.9,2.0,9.52,0.08,1,,AGC 336224,LEDA
336225,350.87875,18.89778,88.2,2.2,6541,6,1.64,0.26,197,12,1.0,0.08,1.22,0.15,2.74,0.21,-0.062,0.018,15.2,2.0,9.48,0.07,1,,AGC 336225,LEDA
336234,350.94458,19.45611,165.8,2.3,11948,8,1.43,0.22,207,18,1.36,0.15,1.73,0.29,6.1,0.7,0.129,0.023,10.1,2.5,9.97,0.07,1,,AGC 336234,LEDA
336235,351.02167,17.88556,160.4,2.3,11585,6,0.68,0.12,59,9,1.25,0.31,1.33,0.35,5.67,0.7,0.112,0.033,8.1,2.4,9.61,0.08,1,,AGC 336235,LEDA
336236,351.085,18.09722,198.2,2.3,14226,7,0.69,0.12,88,13,1.11,0.15,1.29,0.3,3.28,0.61,0.018,0.034,7.3,2.4,9.81,0.08,1,,AGC 336236,LEDA
336237,351.225,18.52333,180.3,2.1,12971,8,2.71,0.42,326,22,1.22,0.1,1.58,0.18,2.91,0.24,-0.047,0.025,17.6,2.1,10.32,0.07,1,,AGC 336237,LEDA
336238,351.82625,19.35667,167.3,2.2,12046,6,1.38,0.21,246,28,1.1,0.1,1.0,0.12,5.06,0.69,0.104,0.026,10.9,2.1,9.96,0.07,1,,AGC 336238,LEDA
336239,351.95833,18.78472,86.2,2.3,6028,7,0.93,0.17,111,16,1.2,0.17,1.23,0.29,4.11,0.61,0.032,0.034,9.7,2.2,9.21,0.08,1,,AGC 336239,LEDA
336240,352.07417,18.82056,86.5,2.3,6033,4,2.09,0.33,106,7,1.17,0.12,1.55,0.23,5.83,0.56,0.115,0.018,20.2,2.4,9.57,0.07,1,,AGC 336240,LEDA
336256,352.09333,19.14417,70.2,2.2,4907,7,0.95,0.17,110,17,1.15,0.16,1.0,0.23,4.0,0.59,0.035,0.033,8.7,2.5,9.04,0.08,1,,AGC 336256,LEDA
336257,352.17167,19.66028,166.6,2.4,12003,9,0.9,0.16,92,16,1.1,0.4,1.07,0.5,4.12,0.67,0.054,0.036,7.9,2.4,9.77,0.08,1,,AGC 336257,LEDA
336258,352.70958,18.665,69.4,2.1,4850,3,0.97,0.15,35,4,1.0,0.12,1.06,0.15,4.98,0.43,0.081,0.018,10.3,3.3,9.04,0.07,1,,AGC 336258,LEDA
336259,352.92083,18.75333,165.9,2.3,11971,7,1.51,0.24,146,11,1.0,0.08,1.04,0.12,2.79,0.24,-0.034,0.019,12.7,2.3,9.99,0.07,1,,AGC 336259,LEDA
336260,353.50833,18.24,69.6,2.3,4875,4,1.94,0.3,106,7,1.0,0.08,1.01,0.11,3.86,0.28,0.014,0.016,20.8,2.3,9.35,0.07,1,,AGC 336260,LEDA
336261,353.63417,18.12528,74.9,2.3,5239,6,1.24,0.19,161,11,1.17,0.1,1.18,0.13,3.27,0.27,-0.011,0.022,16.1,1.5,9.21,0.07,1,,AGC 336261,LEDA
336269,353.6625,18.70528,103.4,2.2,7608,10,0.88,0.16,141,19,1.0,0.19,1.57,0.38,2.98,0.48,-0.035,0.034,6.6,2.6,9.35,0.08,1,,AGC 336269,LEDA
336270,353.87083,19.04722,163.6,2.2,11826,7,1.89,0.29,301,20,1.0,0.08,1.05,0.12,2.87,0.25,-0.037,0.02,14.0,2.0,10.08,0.07,1,,AGC 336270,LEDA
336271,353.87583,19.16111,167.7,2.2,12120,13,0.97,0.17,186,22,1.0,0.32,1.7,0.6,3.07,0.7,0.02,0.034,7.5,2.3,9.81,0.08,1,,AGC 336271,LEDA
336272,354.63167,18.68889,164.1,2.1,11831,16,1.29,0.23,238,34,1.17,0.17,1.0,0.24,2.96,0.65,-0.048,0.037,6.5,3.0,9.91,0.08,1,,AGC 336272,LEDA
336273,355.13,18.90778,169.9,2.3,12249,7,1.27,0.2,140,10,1.1,0.36,1.06,0.84,4.35,0.4,0.048,0.026,11.2,2.3,9.94,0.07,1,,AGC 336273,LEDA
336274,356.17417,18.90472,57.9,2.5,4075,8,0.65,0.11,72,10,1.0,0.19,1.0,0.23,4.11,0.66,0.047,0.031,7.5,2.4,8.71,0.08,1,,AGC 336274,LEDA
336275,356.38625,18.40722,75.4,2.4,5377,11,4.24,0.66,446,31,1.25,0.1,2.17,0.27,4.55,0.43,0.009,0.025,12.8,4.6,9.75,0.07,1,,AGC 336275,LEDA
336287,356.81667,19.85361,58.5,2.2,4117,4,2.84,0.45,104,7,1.0,0.12,1.07,0.13,4.1,0.3,0.069,0.016,28.0,2.0,9.36,0.08,1,,AGC 336287,LEDA
336288,357.08667,18.15556,60.9,2.3,4294,12,0.91,0.16,126,20,1.19,0.21,1.03,0.27,4.07,0.62,0.042,0.033,6.7,2.5,8.9,0.08,1,,AGC 336288,LEDA
336289,357.4525,17.89861,132.6,2.2,9640,6,3.05,0.47,280,22,1.18,0.09,1.21,0.16,4.28,0.34,0.085,0.02,15.8,2.8,10.1,0.07,1,,AGC 336289,LEDA
336290,358.5775,18.54889,153.3,2.4,11090,6,1.22,0.19,145,11,1.17,0.16,1.41,0.17,3.6,0.29,0.004,0.019,11.6,2.0,9.83,0.07,1,,AGC 336290,LEDA
336303,347.58583,18.665,159.4,2.4,11532,4,2.11,0.33,99,8,1.4,0.24,2.1,0.57,5.55,0.61,0.119,0.022,15.1,2.8,10.1,0.07,1,,AGC 336303,LEDA
336304,350.89333,18.22361,162.6,2.3,11772,5,1.64,0.26,192,16,1.36,0.11,1.91,0.26,4.43,0.51,0.045,0.026,10.9,2.6,10.01,0.07,1,,AGC 336304,LEDA
336321,345.01542,17.84639,153.4,2.2,11097,4,1.92,0.3,94,8,1.37,0.12,1.38,0.18,4.59,0.46,0.087,0.019,17.6,2.6,10.03,0.07,1,,AGC 336321,LEDA
336322,345.26458,16.36222,134.6,2.3,9800,4,1.89,0.29,187,14,1.09,0.08,1.41,0.17,2.61,0.3,-0.074,0.021,13.3,2.6,9.91,0.07,1,,AGC 336322,LEDA
336323,345.74125,17.45667,139.0,2.2,10094,3,1.03,0.16,49,4,1.0,0.09,1.0,0.11,4.11,0.32,0.037,0.016,13.8,2.2,9.67,0.07,1,,AGC 336323,LEDA
336324,345.88,16.84639,143.1,2.4,10381,4,1.61,0.25,183,12,1.0,0.08,1.0,0.11,2.79,0.2,-0.046,0.017,15.6,2.1,9.89,0.07,1,,AGC 336324,LEDA
336325,346.11875,16.7925,75.7,2.2,5241,5,1.87,0.29,188,13,1.0,0.09,1.28,0.14,4.25,0.3,0.015,0.016,17.0,2.2,9.4,0.07,1,,AGC 336325,LEDA
336326,346.11708,16.26611,148.3,2.3,10738,8,0.91,0.16,130,16,1.0,0.19,1.31,0.31,3.58,0.54,0.004,0.034,7.1,2.8,9.67,0.08,1,,AGC 336326,LEDA
336327,346.11333,17.41194,157.5,2.4,11384,4,3.3,0.52,240,17,1.14,0.09,1.46,0.17,4.23,0.32,0.068,0.017,22.5,2.3,10.29,0.07,1,,AGC 336327,LEDA
336328,346.55458,17.47889,175.3,2.4,12658,5,1.87,0.29,281,19,1.14,0.09,1.0,0.11,3.46,0.29,0.012,0.02,14.5,2.0,10.13,0.07,1,,AGC 336328,LEDA
336341,346.75542,17.84,106.7,2.3,7820,8,0.76,0.13,90,15,1.11,0.17,1.15,0.29,5.22,0.7,0.079,0.04,8.1,2.5,9.31,0.08,1,,AGC 336341,LEDA
336342,346.77667,17.38083,148.8,2.4,10783,6,1.01,0.16,197,14,1.34,0.12,3.03,0.54,2.76,0.65,-0.062,0.035,10.3,1.9,9.72,0.07,1,,AGC 336342,LEDA
336343,346.80625,16.19444,167.6,2.2,12103,8,0.85,0.16,132,18,1.03,0.15,1.0,0.22,3.89,0.69,0.029,0.032,7.8,2.2,9.75,0.08,1,,AGC 336343,LEDA
336344,347.015,16.39222,167.5,2.4,12105,8,1.05,0.19,164,22,1.05,0.19,1.24,0.32,4.34,0.7,0.078,0.033,7.6,2.7,9.84,0.08,1,,AGC 336344,LEDA
336345,347.00167,16.685,159.5,2.4,11525,8,1.55,0.24,269,17,1.14,0.11,1.37,0.24,2.07,0.2,-0.128,0.021,10.2,2.4,9.97,0.07,1,,AGC 336345,LEDA
336346,347.10792,16.78778,108.8,2.3,7981,3,1.97,0.31,23,3,1.15,0.16,1.1,0.18,4.22,0.31,0.054,0.016,24.6,2.3,9.74,0.07,1,,AGC 336346,LEDA
336347,347.35292,17.01889,110.2,2.3,8092,3,2.73,0.43,186,12,1.22,0.09,1.57,0.17,3.91,0.31,0.022,0.018,26.8,1.9,9.89,0.07,1,,AGC 336347,LEDA
336348,347.58333,16.75611,158.4,2.4,11475,16,1.44,0.26,258,41,1.43,0.21,1.57,0.38,3.19,0.7,-0.001,0.038,7.9,2.5,9.93,0.08,1,,AGC 336348,LEDA
336357,347.82083,17.83,71.1,2.0,4941,4,1.37,0.21,36,4,1.11,0.13,1.08,0.12,4.15,0.32,0.047,0.017,17.2,2.3,9.21,0.07,1,,AGC 336357,LEDA
336358,348.04875,17.58167,71.4,2.3,4965,4,0.59,0.09,34,3,1.09,0.12,1.0,0.12,3.38,0.35,0.018,0.017,10.1,2.0,8.85,0.07,1,,AGC 336358,LEDA
336359,348.71958,17.07972,71.1,2.3,4952,4,1.28,0.2,129,12,1.11,0.09,1.33,0.19,2.88,0.31,-0.014,0.021,13.8,1.9,9.18,0.07,1,,AGC 336359,LEDA
336360,349.47292,16.63889,160.0,2.3,11585,7,1.63,0.25,253,19,1.2,0.1,1.79,0.23,3.17,0.51,0.021,0.024,11.0,2.5,9.99,0.07,1,,AGC 336360,LEDA
336361,349.84542,16.17306,97.4,2.3,7200,5,0.99,0.15,117,8,1.0,0.09,1.47,0.2,4.69,0.47,0.057,0.019,11.2,2.1,9.35,0.07,1,,AGC 336361,LEDA
336362,349.8475,17.64806,165.3,2.2,11919,5,1.45,0.23,238,23,1.2,0.12,1.47,0.24,4.29,0.35,0.053,0.025,11.2,2.2,9.97,0.07,1,,AGC 336362,LEDA
336363,350.35958,16.43278,95.2,2.4,7032,6,0.72,0.13,94,15,1.02,0.14,1.36,0.33,3.88,0.67,0.026,0.036,8.9,2.1,9.19,0.08,1,,AGC 336363,LEDA
336364,350.53958,17.87972,185.2,2.3,13324,16,1.46,0.26,260,34,1.03,0.15,1.19,0.29,2.72,0.43,-0.036,0.034,7.3,3.1,10.07,0.08,1,,AGC 336364,LEDA
336365,350.55375,16.42639,98.0,2.3,7142,4,1.15,0.18,162,12,1.15,0.12,1.04,0.15,4.07,0.33,0.038,0.018,11.1,2.1,9.41,0.07,1,,AGC 336365,LEDA
336379,350.83583,16.74639,72.6,2.4,5059,4,1.55,0.24,121,12,1.0,0.08,1.0,0.11,4.02,0.34,0.041,0.019,15.8,2.2,9.29,0.07,1,,AGC 336379,LEDA
336380,351.45833,17.06139,94.6,2.3,6985,3,0.82,0.13,37,4,1.0,0.08,1.0,0.11,3.56,0.26,0.022,0.017,11.9,2.4,9.24,0.07,1,,AGC 336380,LEDA
336381,351.73958,17.76583,94.1,2.1,6949,9,1.4,0.22,273,26,1.09,0.14,1.07,0.2,4.24,0.38,0.057,0.019,11.3,2.0,9.47,0.07,1,,AGC 336381,LEDA
336382,351.86542,16.36028,168.7,2.3,12133,6,2.57,0.4,236,25,1.35,0.13,1.57,0.19,4.86,0.67,0.066,0.023,16.5,2.3,10.24,0.07,1,,AGC 336382,LEDA
336383,351.97875,17.74028,168.0,2.3,12132,5,1.44,0.22,153,13,1.26,0.1,1.31,0.16,2.68,0.64,-0.032,0.018,13.8,2.2,9.98,0.07,1,,AGC 336383,LEDA
336384,351.96917,17.73833,92.6,2.2,6848,4,1.39,0.22,108,7,1.02,0.08,1.06,0.12,2.95,0.22,-0.029,0.016,15.3,2.1,9.45,0.07,1,,AGC 336384,LEDA
336386,352.02208,17.57778,195.7,2.3,14077,10,2.2,0.34,327,23,1.03,0.09,1.26,0.18,2.94,0.3,-0.008,0.019,11.0,2.8,10.3,0.07,1,,AGC 336386,LEDA
336394,352.19708,16.79333,95.2,2.2,7036,8,0.82,0.14,102,15,1.52,0.23,1.49,0.36,3.08,0.7,-0.008,0.037,7.9,2.5,9.24,0.08,1,,AGC 336394,LEDA
336395,352.21708,16.20389,167.9,2.3,12094,7,1.34,0.21,212,15,1.12,0.09,1.04,0.12,3.31,0.29,-0.008,0.021,11.7,2.0,9.95,0.07,1,,AGC 336395,LEDA
336396,352.21625,16.88389,73.7,2.3,5151,4,2.96,0.47,193,12,1.04,0.07,1.08,0.11,2.88,0.21,-0.049,0.016,28.2,2.0,9.58,0.07,1,,AGC 336396,LEDA
336397,352.60208,16.36167,62.0,2.4,4342,7,0.85,0.15,68,11,1.22,0.31,1.49,0.41,4.06,0.62,0.036,0.036,9.3,2.2,8.88,0.08,1,,AGC 336397,LEDA
336398,353.16875,17.38694,182.0,2.2,13104,4,0.98,0.15,54,9,1.07,0.21,1.17,0.51,3.78,0.34,0.03,0.019,10.5,2.4,9.88,0.07,1,,AGC 336398,LEDA
336399,353.76833,17.66806,62.6,2.3,4363,9,1.19,0.21,147,22,1.18,0.45,1.0,0.0,4.2,0.7,0.054,0.034,9.2,2.6,9.04,0.08,1,,AGC 336399,LEDA
336400,354.18208,16.72,70.8,2.3,4949,4,2.45,0.39,190,14,1.0,0.08,1.0,0.11,5.08,0.37,0.081,0.016,19.6,2.3,9.46,0.07,1,,AGC 336400,LEDA
336401,354.51958,17.62,59.1,2.2,4161,7,1.08,0.19,87,13,1.24,0.24,1.43,0.34,3.26,0.7,0.006,0.039,9.9,2.6,8.95,0.08,1,,AGC 336401,LEDA
336402,354.67417,16.48917,57.4,2.1,4025,5,2.2,0.35,124,8,1.05,0.09,1.21,0.14,2.91,0.22,-0.033,0.016,17.0,2.8,9.23,0.08,1,,AGC 336402,LEDA
336411,354.66833,17.17389,173.9,2.3,12525,9,1.51,0.23,256,22,1.12,0.09,1.16,0.16,3.1,0.32,-0.059,0.028,11.5,2.2,10.03,0.07,1,,AGC 336411,LEDA
336412,355.43292,17.79639,74.8,2.2,5257,11,0.88,0.16,136,25,1.02,0.18,1.68,0.42,2.34,0.51,-0.093,0.033,7.3,2.4,9.06,0.08,1,,AGC 336412,LEDA
336413,355.4675,17.31944,57.3,2.3,4024,6,0.45,0.08,$\leq$11,3,1.28,0.25,1.0,0.23,3.92,0.63,0.01,0.033,7.7,2.6,8.54,0.08,1,,AGC 336413,LEDA
336414,356.43042,16.30083,164.5,2.2,11883,6,1.61,0.25,230,14,1.01,0.08,1.09,0.14,3.41,0.32,-0.015,0.018,11.8,2.4,10.01,0.07,1,,AGC 336414,LEDA
336415,356.47125,17.23472,138.5,2.2,10058,6,1.0,0.16,148,10,1.0,0.09,1.1,0.13,3.04,0.23,-0.04,0.019,10.3,2.0,9.66,0.07,1,,AGC 336415,LEDA
336416,356.84417,16.44111,100.5,2.2,7378,9,0.9,0.16,202,28,1.38,0.21,3.77,1.09,3.37,0.7,0.019,0.046,8.0,2.1,9.33,0.08,1,,AGC 336416,LEDA
336417,357.76583,16.35194,164.6,2.4,11884,9,0.98,0.17,82,12,1.02,0.36,1.0,0.38,5.3,0.7,0.091,0.033,9.4,2.4,9.8,0.08,1,,AGC 336417,LEDA
336418,358.91958,16.23417,190.2,2.4,13669,7,2.67,0.42,314,21,1.0,0.08,1.0,0.11,3.35,0.25,-0.015,0.018,16.5,2.3,10.36,0.07,1,,AGC 336418,LEDA
336419,359.18208,16.39139,110.2,2.3,8077,5,1.3,0.21,151,12,1.0,0.1,1.33,0.15,2.73,0.31,-0.058,0.022,11.2,2.4,9.57,0.07,1,,AGC 336419,LEDA
336449,345.06292,11.87611,90.8,2.3,6739,3,2.44,0.38,134,10,1.05,0.09,1.14,0.13,5.07,0.38,0.071,0.016,23.2,2.2,9.68,0.07,1,,AGC 336449,LEDA
336450,345.37708,12.08611,102.2,2.2,7516,15,1.13,0.2,247,30,1.0,0.13,1.0,0.22,3.69,0.58,-0.006,0.031,9.9,1.9,9.44,0.08,1,,AGC 336450,LEDA
336451,345.86583,13.69083,110.7,2.4,8117,7,0.64,0.11,43,8,1.27,0.27,1.15,0.29,4.4,0.7,0.032,0.03,7.6,2.4,9.27,0.08,1,,AGC 336451,LEDA
336452,346.2475,13.26972,144.4,2.3,10460,8,0.78,0.14,128,19,1.0,0.13,1.13,0.25,2.83,0.47,-0.042,0.036,8.8,2.0,9.58,0.08,1,,AGC 336452,LEDA
336453,347.01417,12.48028,70.5,2.3,4905,5,2.62,0.41,179,14,1.05,0.1,1.29,0.14,2.7,0.22,-0.037,0.023,14.3,3.3,9.49,0.07,1,,AGC 336453,LEDA
336454,347.10083,12.99167,64.4,2.5,4476,6,0.44,0.08,30,8,1.89,0.37,2.27,0.57,2.56,0.7,-0.054,0.042,6.0,2.6,8.63,0.09,1,,AGC 336454,LEDA
336455,347.25125,13.26278,63.7,2.3,4426,8,0.67,0.12,89,15,1.58,0.27,1.4,0.49,3.25,0.57,0.014,0.035,6.1,2.5,8.81,0.08,1,,AGC 336455,LEDA
336456,347.29667,12.29778,166.5,2.3,11982,6,2.11,0.33,194,23,1.03,0.14,1.02,0.39,4.71,0.45,0.091,0.028,17.0,2.1,10.14,0.07,1,,AGC 336456,LEDA
336457,347.40583,12.83028,155.0,2.2,11225,16,1.27,0.23,230,30,1.09,0.24,1.11,0.26,2.74,0.48,-0.039,0.036,8.7,2.5,9.86,0.08,1,,AGC 336457,LEDA
336460,347.57417,13.72917,162.7,2.2,11746,9,0.97,0.17,181,25,1.0,0.13,1.02,0.23,2.82,0.44,-0.025,0.033,9.1,2.0,9.78,0.08,1,,AGC 336460,LEDA
336461,347.67792,13.78833,91.3,2.3,6803,9,1.85,0.29,269,31,1.31,0.13,1.75,0.39,4.56,0.46,0.059,0.02,13.3,2.1,9.56,0.07,1,,AGC 336461,LEDA
336462,347.75167,12.59944,64.1,2.4,4445,7,0.64,0.12,32,7,1.08,0.42,1.0,0.67,3.9,0.63,0.045,0.031,8.5,2.3,8.8,0.08,1,,AGC 336462,LEDA
336463,347.77125,12.96417,150.7,2.4,10914,6,0.68,0.12,50,8,1.17,0.16,1.0,0.21,3.39,0.52,0.002,0.031,9.3,2.2,9.56,0.08,1,,AGC 336463,LEDA
336464,347.87042,11.915,166.4,2.2,12003,8,0.62,0.11,75,14,1.0,0.28,1.02,0.41,4.0,0.69,0.03,0.034,6.8,2.4,9.61,0.08,1,,AGC 336464,LEDA
336465,348.07583,12.57833,69.8,2.4,4859,5,1.16,0.18,120,8,1.04,0.1,1.17,0.14,2.93,0.27,-0.021,0.021,12.8,2.0,9.12,0.07,1,,AGC 336465,LEDA
336466,348.16208,12.62056,159.1,2.3,11488,5,1.21,0.19,215,21,1.07,0.08,1.0,0.1,3.23,0.3,-0.007,0.025,14.2,1.5,9.86,0.07,1,,AGC 336466,LEDA
336467,348.26917,12.88139,67.9,2.3,4722,7,0.9,0.17,116,16,1.02,0.16,1.09,0.26,3.51,0.56,0.007,0.034,8.9,2.5,8.99,0.09,1,,AGC 336467,LEDA
336479,348.33417,12.80944,160.0,2.4,11558,6,1.53,0.24,180,12,1.13,0.14,1.18,0.22,4.37,0.35,0.043,0.017,13.4,2.1,9.96,0.07,1,,AGC 336479,LEDA
336480,348.76458,13.02944,142.7,2.2,10366,7,0.62,0.11,61,10,1.0,0.18,1.02,0.25,3.3,0.57,0.017,0.038,7.0,2.4,9.47,0.08,1,,AGC 336480,LEDA
336481,350.09292,11.96889,112.2,2.4,8214,9,1.79,0.28,271,19,1.05,0.08,1.1,0.13,3.06,0.29,-0.017,0.019,10.8,2.7,9.73,0.07,1,,AGC 336481,LEDA
336482,348.91333,12.92833,66.1,4.4,4535,4,0.97,0.15,58,4,1.05,0.14,1.32,0.17,4.43,0.56,0.038,0.019,11.3,2.3,9.0,0.09,1,,AGC 336482,LEDA
336483,349.00542,12.91139,66.1,4.3,4281,4,1.46,0.23,118,8,1.01,0.09,1.16,0.14,3.54,0.29,-0.01,0.017,14.5,2.4,9.18,0.09,1,,AGC 336483,LEDA
336484,349.2025,13.09694,56.6,2.2,3928,6,1.41,0.22,112,9,1.35,0.16,1.01,0.12,3.79,0.31,0.035,0.016,11.4,2.5,9.03,0.08,1,,AGC 336484,LEDA
336485,349.22,12.55917,88.1,2.2,6545,7,0.48,0.09,68,12,1.38,0.21,1.2,0.3,3.89,0.66,0.046,0.037,6.3,2.2,8.95,0.08,1,,AGC 336485,LEDA
336486,349.36,13.41889,66.1,4.1,4424,7,0.63,0.11,56,9,1.25,0.17,1.71,0.43,3.51,0.7,0.001,0.037,7.0,2.8,8.81,0.09,1,,AGC 336486,LEDA
336487,349.9475,13.36917,55.9,2.3,3886,3,2.73,0.43,150,9,1.0,0.07,1.0,0.1,2.59,0.19,-0.047,0.016,30.8,1.9,9.3,0.08,1,,AGC 336487,LEDA
336503,350.22583,12.93333,177.0,2.3,12750,4,1.08,0.17,125,9,1.0,0.1,1.05,0.12,4.17,0.31,0.036,0.018,11.0,2.2,9.9,0.07,1,,AGC 336503,LEDA
336504,350.50333,12.51667,106.0,2.3,7790,6,1.54,0.24,160,11,1.07,0.09,1.0,0.11,3.56,0.38,-0.014,0.019,12.4,2.5,9.61,0.07,1,,AGC 336504,LEDA
336505,350.55667,12.14806,54.2,2.3,3777,6,0.7,0.13,74,13,1.03,0.15,1.02,0.23,4.22,0.69,0.05,0.034,8.6,2.3,8.69,0.09,1,,AGC 336505,LEDA
336506,350.56833,11.97806,169.1,2.2,12205,11,0.59,0.11,81,12,1.05,0.31,1.04,0.37,5.08,0.7,0.113,0.038,5.3,2.6,9.6,0.08,1,,AGC 336506,LEDA
336507,350.99083,12.12722,173.7,2.3,12519,11,0.62,0.12,76,15,1.0,0.75,1.0,0.39,5.07,0.7,0.094,0.04,5.0,2.4,9.64,0.09,1,,AGC 336507,LEDA
336508,351.19125,13.48028,170.0,2.2,12265,7,0.7,0.12,54,9,1.09,0.16,1.29,0.32,3.69,0.7,0.034,0.034,6.7,3.1,9.68,0.08,1,,AGC 336508,LEDA
336509,351.26625,12.50556,53.8,2.2,3748,4,1.33,0.21,103,7,1.02,0.08,1.05,0.14,2.42,0.21,-0.079,0.019,12.9,2.5,8.96,0.08,1,,AGC 336509,LEDA
336510,351.35917,11.93583,55.1,2.4,3841,4,1.36,0.21,85,9,1.0,0.1,1.03,0.19,5.14,0.45,0.084,0.019,15.2,2.4,8.99,0.08,1,,AGC 336510,LEDA
336511,351.56375,12.855,100.2,2.3,7379,4,1.37,0.21,135,13,1.0,0.08,1.0,0.11,2.85,0.24,-0.045,0.029,13.4,2.3,9.51,0.07,1,,AGC 336511,LEDA
336512,351.72167,12.30083,53.8,2.5,3756,3,0.82,0.13,37,4,1.15,0.13,1.18,0.14,3.65,0.38,0.021,0.024,12.1,2.2,8.75,0.08,1,,AGC 336512,LEDA
336513,351.84292,13.17722,57.1,2.3,3983,6,0.49,0.09,26,5,1.22,0.19,1.57,0.4,3.41,0.66,-0.003,0.041,7.0,2.7,8.58,0.09,1,,AGC 336513,LEDA
336525,351.93208,12.79722,172.3,2.3,12430,4,1.48,0.23,150,11,1.11,0.09,1.18,0.14,2.73,0.31,-0.031,0.017,18.8,1.6,10.02,0.07,1,,AGC 336525,LEDA
336526,352.14208,12.18667,54.1,2.2,3759,4,2.0,0.31,142,10,1.27,0.1,1.36,0.15,3.57,0.3,0.008,0.018,19.3,2.2,9.14,0.08,1,,AGC 336526,LEDA
336527,353.10625,13.58444,73.6,2.3,5151,4,0.8,0.12,49,5,1.0,0.21,1.13,0.28,3.58,0.32,0.028,0.019,10.1,2.4,9.01,0.07,1,,AGC 336527,LEDA
336528,353.45792,12.60639,166.3,2.5,12064,9,1.38,0.21,298,23,1.04,0.13,1.22,0.2,4.46,0.46,0.075,0.023,11.0,1.9,9.95,0.07,1,,AGC 336528,LEDA
336529,353.62833,12.66306,87.6,2.4,6153,4,1.1,0.17,94,8,1.23,0.1,1.4,0.17,3.14,0.27,-0.006,0.021,14.8,1.9,9.3,0.07,1,,AGC 336529,LEDA
336530,353.78125,12.60944,172.5,2.4,12429,7,0.44,0.08,42,8,1.47,0.38,2.38,0.62,3.7,0.64,0.008,0.034,7.5,1.7,9.49,0.08,1,,AGC 336530,LEDA
336531,353.87833,12.42528,99.3,2.2,7284,6,1.25,0.2,158,11,1.1,0.09,1.97,0.24,3.78,0.3,-0.005,0.019,10.8,2.4,9.46,0.07,1,,AGC 336531,LEDA
336532,354.28792,12.25722,106.3,2.2,7809,4,0.98,0.15,95,10,1.0,0.1,1.0,0.12,3.93,0.36,0.003,0.024,12.5,2.0,9.42,0.07,1,,AGC 336532,LEDA
336541,354.4725,13.71972,73.7,2.4,5178,3,1.18,0.19,66,4,1.0,0.07,1.0,0.11,3.05,0.23,-0.012,0.016,18.3,1.9,9.18,0.07,1,,AGC 336541,LEDA
336542,354.62667,12.5075,176.1,2.3,12691,6,1.07,0.19,75,10,1.16,0.17,1.4,0.32,3.88,0.62,0.004,0.033,8.7,3.4,9.89,0.08,1,,AGC 336542,LEDA
336543,354.81167,13.4675,176.3,2.1,12701,5,1.37,0.22,137,11,1.05,0.11,1.09,0.15,3.51,0.3,0.009,0.022,13.3,2.1,10.0,0.07,1,,AGC 336543,LEDA
336544,355.63042,12.75889,182.0,2.3,13100,7,0.92,0.16,148,18,1.0,0.13,1.0,0.23,3.0,0.44,-0.007,0.032,9.2,2.1,9.86,0.08,1,,AGC 336544,LEDA
336545,356.29708,13.56278,185.7,2.3,13355,10,2.39,0.37,338,35,1.12,0.09,1.01,0.11,3.31,0.31,-0.041,0.023,14.7,2.3,10.29,0.07,1,,AGC 336545,LEDA
336546,356.425,11.99306,60.8,2.4,4267,8,2.48,0.38,183,16,1.19,0.21,1.1,0.25,4.57,0.35,0.088,0.017,15.0,2.7,9.34,0.08,1,,AGC 336546,LEDA
336547,356.75583,12.10083,59.2,2.2,4185,9,0.69,0.13,56,10,1.74,0.74,1.81,0.81,3.0,0.7,-0.028,0.063,6.9,2.3,8.76,0.09,1,,AGC 336547,LEDA
336548,357.685,13.15528,163.2,2.2,11790,5,3.85,0.6,321,20,1.04,0.08,1.0,0.11,2.36,0.17,-0.084,0.016,26.1,2.0,10.38,0.07,1,,AGC 336548,LEDA
336549,357.73583,12.76806,124.1,2.4,9042,5,1.2,0.19,111,8,1.28,0.15,1.11,0.18,3.45,0.33,0.006,0.018,11.3,2.5,9.64,0.07,1,,AGC 336549,LEDA
336550,357.83125,11.99944,75.1,2.5,5302,5,1.07,0.18,160,15,1.0,0.09,1.16,0.18,5.29,0.62,0.079,0.022,10.0,2.2,9.15,0.08,1,,AGC 336550,LEDA
